ID	SAMPLE
sample_213	925.SJ3y
sample_214	1883.2008.308.Crump.Artic.LTREB.main.lane2.NoIndex
sample_215	2300.BB.4087.lavage20
sample_216	1064.G.CJV172
sample_217	1521.MZ.15a.s.8.1.sequences
sample_218	2229.W2.T22.ES2.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_219	905.PLO6.t3.ANOX.0to1cm.3
sample_220	925.SF1x
sample_221	722.M11Plmr.1.s.1.1.sequence
sample_222	1622.UPMain.123.124A
sample_223	755.LSSF.ALPHA.D20.16.06.11.lane1.NoIndex.L001
sample_224	807.E.F.11.a
sample_225	1673.MBS0428.1
sample_226	1627.BRZC
sample_227	2382.SH005.C3.RH.5.675.gp.9.12.lane8.NoIndex.L008.sequences
sample_228	1748.5.15.12.FI.19.V
sample_229	2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences
sample_230	1521.35.W.s.6.1.sequences
sample_231	2229.W1.T11.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_232	1197.SE.20101019.GY.LBNL14.BC.406.a
sample_233	1642.MS00454
sample_234	2080.S71D350.400
sample_235	2080.S26D75.100
sample_236	1627.DRBC
sample_237	722.TRRsed2.2.s.2.1.sequence
sample_238	2382.SH005.C3.RH.1.654.leav.9.12.lane8.NoIndex.L008.sequences
sample_239	722.F11Tong.6.s.7.1.sequence
sample_240	1747.slasher.35.101112
sample_241	1774.60Nasal24.10.09
sample_242	2338.0628.2.E
sample_243	1064.G.CV316
sample_244	1883.2007.075.Crump.Artic.LTREB.main.lane1.NoIndex
sample_245	1883.2011.563.Crump.Artic.LTREB.main.lane3.NoIndex
sample_246	1747.DZF.6202012.RJ.soil.under.basking.site
sample_247	1481.NA.01.T0
sample_248	933.N.2.3.S.E.3
sample_249	804.Julie.6
sample_250	1521.MZ.93a.s.8.1.sequences
sample_251	933.N.2.1.H.E.1
sample_252	1235.sp0714
sample_253	2192.H05b.Bedroom.Floor.2956.lane1.NoIndex.L001
sample_254	1747.200197.holding.pen2.dirt.plant.matter
sample_255	1883.2008.128.Crump.Artic.LTREB.main.lane2.NoIndex
sample_256	804.3867.1228.6
sample_257	910.CuracaoCCA3C
sample_258	925.SE2y
sample_259	804.H02.072605.R0715
sample_260	1883.2010.316A.Crump.Artic.LTREB.main.lane3.NoIndex
sample_261	1747.207507.10512.fecal
sample_262	1773.Thraupis.palm1.ugi
sample_263	1621.F8839
sample_264	804.LS11.30
sample_265	1521.MZ.52b.s.8.1.sequences
sample_266	905.Alsback.4to4.5cm
sample_267	2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences
sample_268	807.W.F.11.a
sample_269	755.EF.GAMMA.09.06.11.lane1.NoIndex.L001
sample_270	958.N.13
sample_271	1747.c.v.v.2011009.body
sample_272	910.CuracaoTurf3B
sample_273	1222.B2.5.21.06
sample_274	1521.C3.s.8.1.sequences
sample_275	1642.MS00378
sample_276	722.M11Tong.7.s.8.1.sequence
sample_277	1773.Columb.passer5.gizz
sample_278	2382.SH007.C6.RH.1.704.leav.9.12.lane8.NoIndex.L008.sequences
sample_279	894.UY792.lane3.NoIndex.L003
sample_280	1453.44568SDZ5.E1.Pnem.cecum
sample_281	1198.SWE14.KBA3.SS4.5
sample_282	2192.H02a.Foot.632.lane2.NoIndex.L002
sample_283	933.T.3.2.S.E.3
sample_284	2382.SH008.C6.HA.4.745.gp.9.12.lane8.NoIndex.L008.sequences
sample_285	755.INB.24.08.11.lane1.NoIndex.L001
sample_286	2382.SH007.C6.RH.3.715.gp.9.12.lane8.NoIndex.L008.sequences
sample_287	723.C7.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
sample_288	662.M42
sample_289	846.Fagna24102011Soil15A2
sample_290	2080.S42D735
sample_291	1748.5.15.12.FI.10.V
sample_292	2192.H07b.Nose.3945.lane1.NoIndex.L001
sample_293	1883.2008.298.Crump.Artic.LTREB.main.lane2.NoIndex
sample_294	2229.S2.T1.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_295	1734.LD.NBS1051F
sample_296	2382.DPOO1.C1.HA.3.639.leav.9.12.lane8.NoIndex.L008.sequences
sample_297	804.3651.1123B
sample_298	2229.S1.T1.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_299	1702.DCS2
sample_300	1773.Salt.max4.ugi
sample_301	1773.Chirox.lance2.gizz
sample_302	808.UT.15.42.s.4.1.sequences.r
sample_303	662.M11
sample_304	1521.HI2.s.6.1.sequences
sample_305	1883.2011.494.Crump.Artic.LTREB.main.lane4.NoIndex
sample_306	678.T.RFLP.Sample.654
sample_307	1665.IFAW11.023Dd
sample_308	1064.G.CV02
sample_309	1064.G.CV340
sample_310	1453.45661SDZ2.F6.Pnem.stom
sample_311	722.TRRsed2.7.s.8.1.sequence
sample_312	1883.2003.228.Crump.Artic.LTREB.main.lane4.NoIndex
sample_313	1580.WPB.sed.D1
sample_314	940.RD.26.Gill
sample_315	722.M31Tong.4.s.4.1.sequence
sample_316	1622.UPMain.102.103A
sample_317	2192.H05b.Nose.2409.lane5.NoIndex.L005
sample_318	1883.2010.302A.Crump.Artic.LTREB.main.lane3.NoIndex
sample_319	933.W.2.2.S.E.2
sample_320	1197.SU.20100919.GY.FFC7.BC.007
sample_321	2192.H07b.Nose.3849.lane1.NoIndex.L001
sample_322	1642.MS00569
sample_323	1521.MZ.67a.s.8.1.sequences
sample_324	1747.Teman.72612.saliva1
sample_325	925.SH4y
sample_326	1622.UPMain.76.77
sample_327	662.M43
sample_328	1064.W.CV129
sample_329	1039.P.Dois.Rios.SA
sample_330	804.H05.072905.R0229A
sample_331	1748.5.30.12.P.14.D
sample_332	1521.Aphid27.s.7.1.sequences
sample_333	2192.H06b.Hand.3349.lane6.NoIndex.L006
sample_334	1642.MS00450
sample_335	1521.MZ.88a.s.8.1.sequences
sample_336	1521.Cle.W2.s.8.1.sequences
sample_337	2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences
sample_338	1773.Columb.talpa1.crop
sample_339	925.IG1z
sample_340	550.L6S144.s.6.sequence
sample_341	1289.KH54
sample_342	933.W.3.2.H.E.1
sample_343	940.CR.26.Oral
sample_344	1580.BBB.number2.filt.
sample_345	1696.CT0011.3
sample_346	905.PLO6.t2.OX.0to1cm.1
sample_347	2382.SH004.C1.RH.3.614.leav.9.12.lane8.NoIndex.L008.sequences
sample_348	1673.MBS0428.5
sample_349	1642.MS00300
sample_350	1692.Biofilm.B.E2.2.W.2012
sample_351	662.M10
sample_352	1056.Myr.tri.Seat.21.04K01
sample_353	1453.45796SDZ4.H1.Pnem.feces
sample_354	2382.RU006.C181.RH.2.784.leav.9.12.lane8.NoIndex.L008.sequences
sample_355	2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences
sample_356	990.KA3F.D.04
sample_357	1064.H.CV326
sample_358	2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences
sample_359	1883.2008.31.Crump.Artic.LTREB.main.lane2.NoIndex
sample_360	933.N.2.3.S.E.2
sample_361	804.Julie.7
sample_362	1521.Sample141.s.7.1.sequences
sample_363	804.3862.1219
sample_364	910.AcrAB
sample_365	1521.Cle.3.s.8.1.sequences
sample_366	1748.5.18.12.R.13.D
sample_367	1580.A23.number2.filt.D1
sample_368	1747.hi.five.23569.oral
sample_369	1642.MS00379
sample_370	910.AcrTA1
sample_371	1773.Platy.flav1.gizz
sample_372	925.IF5z
sample_373	910.CuracaoTurf3C
sample_374	1774.34BI23.10.09
sample_375	2080.S39D2585
sample_376	958.N.12
sample_377	2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences
sample_378	933.N.3.1.S.E.3
sample_379	1453.54323SDZ1.B8.Cguer.mesy
sample_380	933.N.3.3.H.E.1
sample_381	829.Pd
sample_382	1001.SKD8
sample_383	1642.MS00543
sample_384	958.O.14
sample_385	804.LS11.31
sample_386	755.EFA.20.09.11.lane1.NoIndex.L001
sample_387	1222.B3.5.9.06
sample_388	1665.CCS2011.007
sample_389	2229.S2.N23.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_390	1064.G.CJV174
sample_391	1064.G.CV01
sample_392	1453.44568SDZ5.E4.Pnem.stom
sample_393	1481.PO4.4.T8
sample_394	1521.Det.1.s.8.1.sequences
sample_395	2229.S1.T21.ES4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_396	2229.W2.N23.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_397	1773.Columb.passer7.ugi
sample_398	662.M12
sample_399	1883.2011.292.Crump.Artic.LTREB.main.lane4.NoIndex
sample_400	1622.PP.101.102A
sample_401	1694.St1C1.Pmoss.Jstar.16s.NoIndex.sequences
sample_402	1064.G.CV343
sample_403	1037.IDF2.OM2C0.ORG
sample_404	723.C11.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
sample_405	1242.ME13Oct10EB1R1
sample_406	1694.St2G4.Pmoss.Jstar.16s.NoIndex.sequences
sample_407	1673.MBS0613.3
sample_408	1883.2008.41.Crump.Artic.LTREB.main.lane2.NoIndex
sample_409	1642.MS00452
sample_410	662.M41
sample_411	550.L2S144.s.2.sequence
sample_412	662.M9
sample_413	1240.0803BCDNA
sample_414	2229.W2.T13.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_415	678.seasonal.insitu.sample.501
sample_416	1621.F8810
sample_417	804.LS11.19
sample_418	1242.ME06Nov01EB1R1
sample_419	1578.A2.low0.36to0.40
sample_420	1056.Ory.afe.Cinci.1
sample_421	1883.2011.527.Crump.Artic.LTREB.main.lane4.NoIndex
sample_422	804.3651.1123A
sample_423	1036.B.Ac.14.1.s.4.1.sequences
sample_424	1453.54167SDZ1.B1.Tfran.feces
sample_425	1642.MS00541
sample_426	2300.BB.08.lavage20
sample_427	1694.St2F7.Pmoss.Jstar.16s.NoIndex.sequences
sample_428	1747.DZF.5302012.RJ.flick
sample_429	1773.Thraupis.gauco1.ugi
sample_430	2229.S2.T21.PS4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_431	1240.2209T
sample_432	1235.sp1944
sample_433	807.W.F.11.b
sample_434	804.LS11.70a
sample_435	910.AcrTA3
sample_436	933.T.1.1.S.E.4
sample_437	722.NP2.5.s.6.1.sequence
sample_438	1579.M.1.0
sample_439	1521.MZ.31b.s.8.1.sequences
sample_440	1642.MS00512
sample_441	807.BG.S.12.b
sample_442	905.PLO6.t2.ANOX.0to1cm.1
sample_443	804.Julie.5
sample_444	723.C10.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
sample_445	804.3867.1228.5
sample_446	1521.SPL.Sp.21.s.8.1.sequences
sample_447	910.CuracaoTurf6B
sample_448	1453.44923SDZ3.B3.Pnem.stom
sample_449	662.M38
sample_450	1694.St2B6.Pmoss.Jstar.16s.NoIndex.sequences
sample_451	1642.MS00328
sample_452	1717.KBC4.experimental.plot
sample_453	910.AcrTA2
sample_454	933.T.1.1.S.E.5
sample_455	1748.5.15.12.FI.18.D
sample_456	1521.Sample82.s.7.1.sequences
sample_457	2229.W2.N22.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_458	1242.ME31Aug05EB2R1
sample_459	804.LS11.32
sample_460	940.RD.28.Oral
sample_461	1642.MS00329
sample_462	1665.IFAW11.51La
sample_463	1773.Columb.passer6.lgi
sample_464	550.L6S309.s.6.sequence
sample_465	1883.2011.495.Crump.Artic.LTREB.main.lane4.NoIndex
sample_466	2382.SH008.C6.HA.5.750.gp.9.12.lane8.NoIndex.L008.sequences
sample_467	662.M39
sample_468	1240.1910B
sample_469	804.3867.1228.4
sample_470	809.PLRP5.55
sample_471	804.Julie.4
sample_472	1521.MZ.54b.s.8.1.sequences
sample_473	1033.Antarctic.soil.5C.1.7
sample_474	2229.S2.T12.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_475	1734.LD.NBS1079E
sample_476	1748.5.15.12.FI.5.V
sample_477	2229.S2.T1.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_478	2080.S39D60.85
sample_479	632.Arctic.Tundra.1
sample_480	1521.231.1.1.s.7.1.sequences
sample_481	1064.G.CV342
sample_482	1242.ME30Sep04EB1R2
sample_483	905.PLO6.t2.OX.0to1cm.2
sample_484	1521.Chi.1.s.8.1.sequences
sample_485	662.M13
sample_486	1773.Columb.passer8.crop
sample_487	1674.McG.F110714Jr5H1
sample_488	1883.2008.129.Crump.Artic.LTREB.main.lane2.NoIndex
sample_489	1713.McG.L3B1020
sample_490	1521.MZ.59a.s.8.1.sequences
sample_491	722.TRRsed3.3.s.3.1.sequence
sample_492	933.T.2.2.H.E.2
sample_493	1642.MS00400
sample_494	1736.O38.0711
sample_495	2229.S1.T23.ES3.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_496	2382.SH007.C6.RH.2.710.gp.9.12.lane8.NoIndex.L008.sequences
sample_497	1747.Teman.72612.saliva2
sample_498	1883.2011.485.Crump.Artic.LTREB.main.lane4.NoIndex
sample_499	1481.PO5.5.T0
sample_500	1035.UQ888
sample_501	1064.H.CV265
sample_502	1453.54167SDZ1.A1.Tfran.stom
sample_503	678.seasonal.insitu.sample.500
sample_504	662.M8
sample_505	1039.P.Dois.Rios.SB
sample_506	804.H05.072905.R0229B
sample_507	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
sample_508	662.M40
sample_509	1580.WPA.filt.
sample_510	1642.MS00453
sample_511	940.RD.07.Ventral
sample_512	1521.231.7.s.7.1.sequences
sample_513	1702.AT1
sample_514	2192.H01a.Nose.39.lane6.NoIndex.L006
sample_515	1064.G.CV330
sample_516	1288.WSBE07Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence
sample_517	1240.0102B
sample_518	1773.Salt.max1.gizz
sample_519	1521.228.5.s.7.1.sequences
sample_520	861.H10.mar09
sample_521	722.AQC1cm.2.s.2.1.sequence
sample_522	933.N.3.3.S.E.5
sample_523	846.Fagna24102011Soil12C2
sample_524	1622.UPSub.55.56
sample_525	1747.L00376.81512.back
sample_526	1642.MS00322
sample_527	1747.200080.92812.saliva
sample_528	910.AcrC48
sample_529	662.M32
sample_530	2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences
sample_531	1773.Rhamp.carbo2.lgi
sample_532	1030.TVF.2010.Loc2.D0.Rep3
sample_533	722.AQC4cm.3.s.3.1.sequence
sample_534	889.25May.2
sample_535	1064.G.CV285
sample_536	894.OR360.lane3.NoIndex.L003
sample_537	1521.MZ.31a.s.8.1.sequences
sample_538	1038.DIRT14
sample_539	1580.A23.1.sed.D1
sample_540	1748.5.15.12.FI.9.V
sample_541	638.RMK.ENR.23.1
sample_542	1642.MS00532
sample_543	1883.2011.533.Crump.Artic.LTREB.main.lane4.NoIndex
sample_544	1883.2011.537.Crump.Artic.LTREB.main.lane3.NoIndex
sample_545	678.OA.mesocosm.417
sample_546	1622.UPSub.60.61
sample_547	1622.PP.31.32A
sample_548	1064.W.CJV225
sample_549	662.M18
sample_550	910.CuracaoTurf4B
sample_551	1627.DZC
sample_552	804.073105.bio1slurpA1.2109.3.1
sample_553	1773.Columb.passer4.crop
sample_554	1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence
sample_555	678.T.RFLP.Sample.737
sample_556	1521.Det.2.s.8.1.sequences
sample_557	1481.PO4.7.T8
sample_558	1622.PP.71.72A
sample_559	807.W.S.12.b
sample_560	2229.W1.N3.5.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_561	1773.Zono.capensis2.ugi
sample_562	550.L4S158.s.4.sequence
sample_563	804.LS11.72a
sample_564	910.CuracaoCCA4C
sample_565	1883.2011.314.Crump.Artic.LTREB.main.lane4.NoIndex
sample_566	662.M3
sample_567	1665.flipper.tag.40
sample_568	925.IJ5y
sample_569	910.CuracaoTurf1A
sample_570	1197.SE.20101019.GY.LBNL8.BC.444.a
sample_571	1883.2011.56.Crump.Artic.LTREB.main.lane3.NoIndex
sample_572	1883.2007.369.Crump.Artic.LTREB.main.lane2.NoIndex
sample_573	910.CuracaoTurf4C
sample_574	2382.RU006.C181.RH.5.800.gp.9.12.lane8.NoIndex.L008.sequences
sample_575	2229.S1.N2.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_576	1747.RGZ.7172012.NN.saliva
sample_577	1627.ZCCK3
sample_578	940.GH.Water
sample_579	910.CuracaoCCA1A
sample_580	2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences
sample_581	1773.Columb.passer3.gizz.ugi
sample_582	1627.BGC
sample_583	1622.UPMain.108.109A
sample_584	809.PLRP12.60
sample_585	894.SL863.lane3.NoIndex.L003
